myDescription,careAboutMonthDemand_Beta_01,t_month_Disaster,numMonthsToAvg,setScenarioProbabilitiesTo1OverN_Flag,minDisasterYear,maxDisasterYear,minYearSubset,maxYearSubset,truckDistanceMethod,expandWhichWarehousesCarryItem_01,maxDrivingTimeCutAbove_Hrs,minTimeRequiredToRespond,numDisasters,n_itemIter,initialInventorySum,objCostType,initialSuppliesVarFlag,disasterID,warehouseID,disasterLocation,transMode,numUnitsMoved,timeHours,costPerTon,distKm
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:2010-0078,"Majuro, New Caledonia","Avarua District, Cook Islands",Air,200.39999999999998,25.810639327770126,8718.524151961112,3486.383596662075
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1993-0002,"Majuro, New Caledonia","Suva, Fiji",Air,29870.6,22.22291063843519,6113.833123503948,1333.746383061114
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1990-0003,XDummy,"Apia, Samoa",Air,7783.000000000002,1000000.0,1000000.0,1000000.0
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1997-0292,"Majuro, New Caledonia","Hagatna, Guam",Air,175.5999999999999,27.716246933731895,10101.995273889355,4629.748160239137
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1952-0001,"Majuro, New Caledonia","Suva, Fiji",Air,158.0,22.22291063843519,6113.833123503948,1333.746383061114
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:2010-0078,"Auckland, New Zealand","Avarua District, Cook Islands",Air,238.0,25.02152655109424,8145.628276094417,3012.915930656543
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:2010-0003,"Port Moresby, Papua New Guinea","Honiara, Solomon Islands",Air,223.2,22.340548191045656,6199.237986699145,1404.3289146273924
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1990-0007,"Majuro, New Caledonia","Alofi, Niue",Air,38.0,24.141194461433088,7506.507179000421,2484.716676859852
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:2003-0024,"Majuro, New Caledonia","Suva, Fiji",Air,5998.0,22.22291063843519,6113.833123503948,1333.746383061114
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:2002-0826,"Port Moresby, Papua New Guinea","Saipan, 96950, CNMI",Air,58.0,24.576813106104634,7822.766315031964,2746.0878636627804
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:2005-0664,"Majuro, New Caledonia","Port Vila, Vanuatu",Air,998.0,20.902781527673387,5155.419389090879,541.668916604032
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:2004-0312,"Port Moresby, Papua New Guinea","Saipan, 96950, CNMI",Air,38.0,24.576813106104634,7822.766315031964,2746.0878636627804
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1998-0116,"Auckland, New Zealand","Pape'ete, French Polynesia",Air,0.2,26.828732847651608,9457.660047395068,4097.239708590964
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1986-0052,"Majuro, New Caledonia","Suva, Fiji",Air,29870.6,22.22291063843519,6113.833123503948,1333.746383061114
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:2010-0054,"Port Moresby, Papua New Guinea","Honiara, Solomon Islands",Air,1106.4,22.340548191045656,6199.237986699145,1404.3289146273924
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1982-0034,"Majuro, New Caledonia","Nuku'alofa, Tonga",Air,29300.4,23.168303350218558,6800.188232258673,1900.9820101311352
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1979-0026,"Majuro, New Caledonia","Honiara, Solomon Islands",Air,91.59999999999991,22.64364969524606,6419.289678748641,1586.1898171476373
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1979-0026,"Port Moresby, Papua New Guinea","Honiara, Solomon Islands",Air,1106.4,22.340548191045656,6199.237986699145,1404.3289146273924
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:2009-0013,"Majuro, New Caledonia","Suva, Fiji",Air,2109.2,22.22291063843519,6113.833123503948,1333.746383061114
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1985-0020,"Majuro, New Caledonia","Port Vila, Vanuatu",Air,23498.0,20.902781527673387,5155.419389090879,541.668916604032
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1983-0047,XDummy,"Suva, Fiji",Truck,8785.800000000005,1000000.0,1000000.0,1000000.0
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1965-0011,"Majuro, New Caledonia","Suva, Fiji",Air,1998.0,22.22291063843519,6113.833123503948,1333.746383061114
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1971-0008,"Majuro, New Caledonia","Honiara, Solomon Islands",Air,91.59999999999991,22.64364969524606,6419.289678748641,1586.1898171476373
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1972-0057,"Majuro, New Caledonia","Funafuti, Tuvalu",Air,138.0,23.419404967116613,6982.488006126661,2051.6429802699686
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:2009-0420,"Majuro, New Caledonia","Nuku'alofa, Tonga",Air,99.4,23.168303350218558,6800.188232258673,1900.9820101311352
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1993-0002,"Auckland, New Zealand","Suva, Fiji",Air,238.0,23.54790150625136,7075.776493538488,2128.7409037508164
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1992-0344,"Port Moresby, Papua New Guinea","Hagatna, Guam",Air,1106.4,24.276068518546705,7604.425744464908,2565.641111128023
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1990-0008,"Majuro, New Caledonia","Nuku'alofa, Tonga",Air,618.6,23.168303350218558,6800.188232258673,1900.9820101311352
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1961-0003,"Majuro, New Caledonia","Nuku'alofa, Tonga",Air,1598.0,23.168303350218558,6800.188232258673,1900.9820101311352
