myDescription,careAboutMonthDemand_Beta_01,t_month_Disaster,numMonthsToAvg,setScenarioProbabilitiesTo1OverN_Flag,minDisasterYear,maxDisasterYear,minYearSubset,maxYearSubset,truckDistanceMethod,expandWhichWarehousesCarryItem_01,maxDrivingTimeCutAbove_Hrs,minTimeRequiredToRespond,numDisasters,n_itemIter,initialInventorySum,objCostType,initialSuppliesVarFlag,myFracServed,myFractionOfDisastersUsingDummy,myItemDemandMetWeighted,myWeightedDemand,myPeopleServedPerItemShipped,myPeopleServedPerItemAll,bigMCostDummy,objVal,objValPerUnitShipped,dualTotInv,dualTotInvAdj,compareObjVal_Cost,compareObjVal_Time,compareObjVal_pureKM
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,37881,Cost,Optimal,0.6460704726296046,0.14492753623188406,2209.4898550724597,3419.8898550724575,4.999999999773707,4.999999999853799,50,48667.05377979326,22.026375756314394,-1.0477270646485228,6.19864974694568,48667.05377979331,37060.71597718581,2074584.9349486018
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,37881,Cost,Actual,0.6770897782763071,0.15942028985507245,2315.572463768113,3419.88985507246,4.999999999784072,4.999999999853795,50,70957.01124915507,30.643399140540367,,,70957.01124915505,52939.11496862573,4320057.359130368
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,37881,Time,Optimal,0.8470295678399488,0.050724637681159424,2896.747826086955,3419.889855072461,4.9999999998273905,4.999999999853793,50,66068.72332843632,22.80789605887229,-1.1383753841485686,1.3978564999094025,86298.96176918066,66068.72332843635,5020245.369755561
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,37881,Time,Actual,0.6900319698203636,0.08695652173913043,2359.8333333333303,3419.8898550724593,4.9999999997881215,4.999999999853796,50,54395.615992426,23.050617694803734,,,73223.30561772405,54395.615992426014,4530044.929932286
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,100,BlanketGen,125541,Cost,Optimal,0.999999999898937,0.0,989.4807052356911,989.4807052356911,19.491062226885003,19.491062226885003,50,3412.41609799745,3.448693925607932,0.0,0.0,3412.4160979974527,10205.452477588287,77958.20116880372
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,100,BlanketGen,125541,Cost,Actual,0.999999999898937,0.0,989.4807052356915,989.4807052356915,19.491062226884992,19.491062226884992,50,6103.30578660394,6.168190803208569,,,6103.305786603943,18849.04747760323,1176984.2160944187
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,100,BlanketGen,125541,Time,Optimal,0.999999999898937,0.0,989.4807052356911,989.4807052356911,19.491062226885003,19.491062226885003,50,10205.45247758829,10.313947935069628,0.0,0.0,3412.4160979974527,10205.452477588287,77958.20116880372
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,100,BlanketGen,125541,Time,Actual,0.999999999898937,0.0,989.4807052356915,989.4807052356915,19.491062226884992,19.491062226884992,50,18849.04747760324,19.049434087962844,,,6103.305786603943,18849.04747760323,1176984.2160944187
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,ShelterKit,20895,Cost,Optimal,0.3733673938029353,0.5,1276.8753623188386,3419.8898550724584,4.999999999608419,4.999999999853797,50,37080.46052173909,29.03999999772571,-0.7594202898550713,24.240579710144928,37080.46052173908,12768.753623188388,32639.9639159938
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,ShelterKit,20895,Cost,Actual,0.1636445618168516,0.5579710144927537,559.646376811593,3419.889855072458,4.999999999106584,4.999999999853798,50,16469.299478260855,29.42804627655528,,,16469.29947826085,5596.463768115936,9977.356714817468
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,ShelterKit,20895,Time,Optimal,0.6835227339946693,0.08695652173913043,2337.5724637681137,3419.8898550724603,4.999999999786102,4.999999999853794,50,54112.025152185895,23.148811850154868,-1.8064261894757845,2.541399897480737,155398.42330013987,54112.02515218593,4151926.8443885106
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,ShelterKit,20895,Time,Actual,0.6426111697620823,0.08695652173913043,2197.659420289852,3419.8898550724584,4.999999999772487,4.999999999853797,50,54312.26522587948,24.71368617082842,,,159566.03144169966,54312.265225879426,4669262.579199027
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,Tarpaulin4x6,110646,Cost,Optimal,0.8707412392169419,0.043478260869565216,5955.678260869557,6839.77971014492,2.499999999958023,2.499999999963448,50,142405.71079679314,23.910914014621426,-0.9908035117285655,1.1831095317496954,142405.71079679302,130773.99405589647,9683561.912784278
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,Tarpaulin4x6,110646,Cost,Actual,0.8280279812263776,0.057971014492753624,5663.528985507229,6839.779710144908,2.4999999999558624,2.4999999999634523,50,153875.57794421396,27.169557767826245,,,153875.57794421387,139365.05952256412,11687339.790394723
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,Tarpaulin4x6,110646,Time,Optimal,0.8714074188209876,0.043478260869565216,5960.234782608688,6839.77971014492,2.499999999958055,2.499999999963448,50,130968.00830837127,21.973632429434527,-0.9908773960595785,1.1830356474186823,142647.49595853713,130968.0083083713,9711415.87294018
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,Tarpaulin4x6,110646,Time,Actual,0.8280279812263776,0.057971014492753624,5663.528985507229,6839.779710144908,2.4999999999558624,2.4999999999634523,50,139365.05952256414,24.607459390908687,,,153875.57794421387,139365.05952256412,11687339.790394723
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,SleepingMats,52585,Cost,Optimal,0.5568117288260475,0.09420289855072464,9521.173913043463,17099.44927536229,0.9999999999894974,0.9999999999941518,50,102888.49861618532,10.80628287591232,-3.687264620067126,1.0228803074691064,102888.49861618537,277430.2619480486,23640548.473177046
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,SleepingMats,52585,Cost,Actual,0.5438258881091577,0.09420289855072464,9299.123188405792,17099.449275362327,0.9999999999892456,0.9999999999941497,50,105379.7834365785,11.332227920889732,,,105379.78343657844,273471.4237500704,26164299.875368122
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,SleepingMats,52585,Time,Optimal,0.46586041418130714,0.10144927536231885,7965.9565217391155,17099.44927536229,0.9999999999874469,0.9999999999941518,50,179815.62049160743,22.573010535349127,-2.129252780208147,2.9432109879077952,67723.08861718129,179815.62049160743,13611857.12795152
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,SleepingMats,52585,Time,Actual,0.5438258881091577,0.09420289855072464,9299.123188405792,17099.449275362327,0.9999999999892456,0.9999999999941497,50,273471.4237500706,29.408302073909045,,,105379.78343657844,273471.4237500704,26164299.875368122
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,JerryCanGen,143576,Cost,Optimal,0.9999999999853797,0.0,6839.779710144919,6839.779710144919,2.499999999963449,2.499999999963449,50,7336.688650163277,1.07264984560454,-0.048259463488153326,-0.048259463488153326,7336.68865016328,162603.64500484362,12332259.952620717
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,JerryCanGen,143576,Cost,Actual,0.7346685459717552,0.07971014492753623,5024.971014492747,6839.779710144918,2.4999999999502487,2.4999999999634492,50,4463.11049500222,0.8881863163073264,,,4463.110495002226,96465.2352761564,6642112.560190754
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,JerryCanGen,143576,Time,Optimal,0.9326192385074799,0.028985507246376812,6378.910144927525,6839.779710144916,2.49999999996081,2.4999999999634497,50,128037.25455602967,20.071963963285643,-0.7010223235958108,0.7482530387230297,5839.498798965672,128037.2545560296,8824659.620810447
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,JerryCanGen,143576,Time,Actual,0.7346685459717552,0.07971014492753623,5024.971014492747,6839.779710144918,2.4999999999502487,2.4999999999634492,50,96465.23527615644,19.197172480401772,,,4463.110495002226,96465.2352761564,6642112.560190754
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,39,MosquitoNetGen,106266,Cost,Optimal,0.9853841121413601,0.02564102564102564,6102.256410256407,6192.769230769228,2.4999999999590314,2.4999999999596305,50,16292.521843524672,2.66991760881662,-1.3527324512391687,-0.0706811691878868,16292.521843524672,149639.41624453722,9612034.889311656
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,39,MosquitoNetGen,106266,Cost,Actual,0.7375516524529167,0.07692307692307693,4567.487179487176,6192.769230769227,2.499999999945266,2.4999999999596305,50,11188.08008582377,2.4495044311947,,,11188.080085823765,101322.06108332452,6252496.030479973
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,39,MosquitoNetGen,106266,Time,Optimal,0.7929893423964564,0.05128205128205128,4910.799999999997,6192.769230769228,2.4999999999490923,2.4999999999596305,50,50103.75260860809,10.202767900869073,-1.8816186859563735,0.6824838781461904,5853.005999749169,50103.75260860808,125761.44447134434
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,39,MosquitoNetGen,106266,Time,Actual,0.7375516524529167,0.07692307692307693,4567.487179487176,6192.769230769227,2.499999999945266,2.4999999999596305,50,101322.06108332453,22.183326870877465,,,11188.080085823765,101322.06108332452,6252496.030479973
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,Tent,3927,Cost,Optimal,0.0,1.0,0.0,3419.8898550724584,0.0,4.999999999853797,50,0.0,0.0,0.0,50.0,0,0,0
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,Tent,3927,Cost,Actual,0.0,1.0,0.0,3419.8898550724584,0.0,4.999999999853797,50,0.0,0.0,,,0,0,0
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,Tent,3927,Time,Optimal,0.16820695979207484,0.30434782608695654,575.2492753623184,3419.8898550724584,4.999999999130806,4.999999999853797,50,15665.363657776987,27.232304891104803,-6.274398162952312,8.942993141395515,241345.44759732488,15665.363657776965,1410759.589028306
