ItemName,WeightMetricTon,CubicMeters
BlanketGen,0.00175,0.01125
SoapBarGen,0.000102,0.000092
JerryCanGen,0.0003,0.0036
KitchenSetGen,0.005,0.0187
LatrinePlateGen,0.0027,0.02808
MosquitoNetGen,0.000444,0.0017
BucketGen,0.00081,0.005
