ItemName,Warehouse(Region),gglAddress,gglCountry,Total
BlanketGen,NoNamePlace,"Ankara/Ankara Province, Turkey",NoNameCountry,115796.3325
BlanketGen,NoNamePlace,Dubai - United Arab Emirates,NoNameCountry,277701.4675
BlanketGen,NoNamePlace,"43000 Subang, Selangor, Malaysia",NoNameCountry,459065.2
