Item,Disaster Type,Month,gglCountry,PersonsPerItem
MosquitoNetGen,DEFAULT,DEFAULT,Japan,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Jordan,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Kazakhstan,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Kuwait,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Kyrgyzstan,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Lebanon,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Malaysia,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Maldives,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Mongolia,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Republic of the Union of Myanmar,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Nepal,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Oman,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Pakistan,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Philippines,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Qatar,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Saudi Arabia,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Singapore,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Sri Lanka,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Tajikistan,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Thailand,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Turkey,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Turkmenistan,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,United Arab Emirates,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Uzbekistan,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Germany,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Portugal,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Czech Republic,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Moldova,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Macedonia (FYROM),1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Bosnia and Herzegovina,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Spain,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,United Kingdom,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Serbia,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Albania,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Armenia,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Austria,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Azerbaijan,2.5
MosquitoNetGen,DEFAULT,DEFAULT,Belarus,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Belgium,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Bulgaria,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Croatia,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Nicosia,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Denmark,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Estonia,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,Finland,1.00E+15
MosquitoNetGen,DEFAULT,DEFAULT,France,1.00E+15
