Agency,NameCity,gglCountryAscii,gglAddressAscii,ggLat,gglLong,Order
FEMA,San Francisco,United States,"San Francisco , United States",37.7749295,-122.4194155,0
FEMA,Dallas,United States,"Dallas , United States",32.7766642,-96.79698789999999,1
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3
FEMA,Philadelphia,United States,"Philadelphia , United States",39.9525839,-75.1652215,4
