gglCountryAscii,gglAddressAscii,include,FixedInventory
United States,"San Francisco , United States",1,
United States,"Dallas , United States",1,
United States,"Atlanta , United States",1,
United States,"Washington D.C. , United States",1,
United States,"Philadelphia , United States",1,
