Warehouse_Country,Warehouse_City,OutputLocation,OutputCity
United States, San Francisco, United States, San Francisco
United States, Dallas, United States, Dallas
United States, Atlanta, United States, Atlanta
United States, Philadelphia, United States, Philadelphia
