Day,Month,Year,Island name (what I convert to),gglAddress,gglCountry,Type   ,DisasterID,TotAffected
0,12,2008,Ambrym Island,Ambrym Island,Vanuatu,Volcano ,EmDat:2008-0659,7275
0,12,2008,Paama Island,Paama Island,Vanuatu,Volcano ,EmDat:2008-0659,112
0,12,2008,Malekula island,Malekula Island,Vanuatu,Volcano ,EmDat:2008-0659,1613
30,3,1993,Shepherd islands,Shepherd Islands,Vanuatu,Storm ,EmDat:1993-0024,584
30,3,1993,Epi island,Epi Island,Vanuatu,Storm ,EmDat:1993-0024,836
30,3,1993,Efate island,Efate Island,Vanuatu,Storm ,EmDat:1993-0024,10585
27,11,1999,Pentecost island,Pentecost Island,Vanuatu,Earthquake (seismic activity) ,EmDat:1999-0524,7714
27,11,1999,Ambrym Island,Ambrym Island,Vanuatu,Earthquake (seismic activity) ,EmDat:1999-0524,3301
27,11,1999,Paama Island,Paama Island,Vanuatu,Earthquake (seismic activity) ,EmDat:1999-0524,726
27,11,1999,Epi island,Epi Island,Vanuatu,Earthquake (seismic activity) ,EmDat:1999-0524,2359
9,3,2014,Pentecost island,Pentecost Island,Vanuatu,Storm ,EmDat:2014-0096,3908
9,3,2014,Ambae Island,Ambae Island,Vanuatu,Storm ,EmDat:2014-0096,2392
9,3,2014,Maewo island,Maewo Island,Vanuatu,Storm ,EmDat:2014-0096,828
9,3,2014,Ambrym Island,Ambrym Island,Vanuatu,Storm ,EmDat:2014-0096,1672
9,3,2014,Santo island,Santo Island,Vanuatu,Storm ,EmDat:2014-0096,9195
9,3,2014,Gaua Island,Gaua Island,Vanuatu,Storm ,EmDat:2014-0096,573
9,3,2014,Vanua Lava island,Vanua Lava Island,Vanuatu,Storm ,EmDat:2014-0096,603
9,3,2014,Shepherd islands,Shepherd Islands,Vanuatu,Storm ,EmDat:2014-0096,835
12,1,2011,Aneityum island,Aneityum Island,Vanuatu,Storm ,EmDat:2011-0071,909
12,1,2011,Aniwa islands,Aniwa Islands,Vanuatu,Storm ,EmDat:2011-0071,348
12,1,2011,Erromango island,Erromango Island,Vanuatu,Storm ,EmDat:2011-0071,1945
12,1,2011,Tanna island,Tanna Island,Vanuatu,Storm ,EmDat:2011-0071,28798
7,2,1987,Efate island,Efate Island,Vanuatu,Storm ,EmDat:1987-0057,32529
7,2,1987,Erromango island,Erromango Island,Vanuatu,Storm ,EmDat:1987-0057,968
7,2,1987,Tanna island,Tanna Island,Vanuatu,Storm ,EmDat:1987-0057,14330
7,2,1987,Aniwa islands,Aniwa Islands,Vanuatu,Storm ,EmDat:1987-0057,173
25,2,2004,Malekula island,Malekula Island,Vanuatu,Storm ,EmDat:2004-0080,14468
25,2,2004,Ambrym Island,Ambrym Island,Vanuatu,Storm ,EmDat:2004-0080,4590
25,2,2004,Paama Island,Paama Island,Vanuatu,Storm ,EmDat:2004-0080,1009
25,2,2004,Epi island,Epi Island,Vanuatu,Storm ,EmDat:2004-0080,3281
25,2,2004,Shepherd islands,Shepherd Islands,Vanuatu,Storm ,EmDat:2004-0080,2293
25,2,2004,Ambae Island,Ambae Island,Vanuatu,Storm ,EmDat:2004-0080,6565
25,2,2004,Maewo island,Maewo Island,Vanuatu,Storm ,EmDat:2004-0080,2271
25,2,2004,Erromango island,Erromango Island,Vanuatu,Storm ,EmDat:2004-0080,1236
25,2,2004,Tanna island,Tanna Island,Vanuatu,Storm ,EmDat:2004-0080,18295
16,1,1985,Ambae island,Ambae Island,Vanuatu,Storm ,EmDat:1985-0020,5541
16,1,1985,Ambrym Island,Ambrym Island,Vanuatu,Storm ,EmDat:1985-0020,3873
16,1,1985,Aneityum island,Aneityum Island,Vanuatu,Storm ,EmDat:1985-0020,487
16,1,1985,Aniwa islands,Aniwa Islands,Vanuatu,Storm ,EmDat:1985-0020,186
16,1,1985,Efate island,Efate Island,Vanuatu,Storm ,EmDat:1985-0020,35049
16,1,1985,Epi island,Epi Island,Vanuatu,Storm ,EmDat:1985-0020,2769
16,1,1985,Erromango island,Erromango Island,Vanuatu,Storm ,EmDat:1985-0020,1043
16,1,1985,Gaua Island,Gaua Island,Vanuatu,Storm ,EmDat:1985-0020,1326
16,1,1985,Maewo island,Maewo Island,Vanuatu,Storm ,EmDat:1985-0020,1917
16,1,1985,Malekula island,Malekula Island,Vanuatu,Storm ,EmDat:1985-0020,12211
16,1,1985,Malo island,Malo Island,Vanuatu,Storm ,EmDat:1985-0020,2275
