Agency,NameCity,depotGglCountryAscii,depotGglAddressAscii,depotGglLat,depotGglLong,disasterGglCountryAscii,disasterGglAddressAscii,disasterGglLat,disasterGglLong,drivingTime_hrs,distance_km
Oxfam,Port Vila,Vanuatu,"Port Vila, Vanuatu - Oxfam",-17.756593,168.3131,Vanuatu,Aneityum Island,-20.195206,169.807476,1000000,1000000
Oxfam,Port Vila,Vanuatu,"Port Vila, Vanuatu - Oxfam",-17.756593,168.3131,Vanuatu,Aniwa Islands,-19.25135,169.599552,1000000,1000000
Oxfam,Port Vila,Vanuatu,"Port Vila, Vanuatu - Oxfam",-17.756593,168.3131,Vanuatu,Efate Island,-17.640498,168.428964,0,0
Oxfam,Port Vila,Vanuatu,"Port Vila, Vanuatu - Oxfam",-17.756593,168.3131,Vanuatu,Epi Island,-16.733147,168.271542,1000000,1000000
Oxfam,Port Vila,Vanuatu,"Port Vila, Vanuatu - Oxfam",-17.756593,168.3131,Vanuatu,Erromango Island,-18.804354,169.151661,1000000,1000000
Oxfam,Port Vila,Vanuatu,"Port Vila, Vanuatu - Oxfam",-17.756593,168.3131,Vanuatu,Gaua Island,-14.273755,167.515452,1000000,1000000
Oxfam,Port Vila,Vanuatu,"Port Vila, Vanuatu - Oxfam",-17.756593,168.3131,Vanuatu,Maewo Island,-15.136524,168.120766,1000000,1000000
Oxfam,Port Vila,Vanuatu,"Port Vila, Vanuatu - Oxfam",-17.756593,168.3131,Vanuatu,Malekula Island,-16.283095,167.523529,1000000,1000000
Oxfam,Port Vila,Vanuatu,"Port Vila, Vanuatu - Oxfam",-17.756593,168.3131,Vanuatu,Malo Island,-15.656333,167.172131,1000000,1000000
Oxfam,Port Vila,Vanuatu,"Port Vila, Vanuatu - Oxfam",-17.756593,168.3131,Vanuatu,Merelava Island,-14.460985,168.047862,1000000,1000000
Oxfam,Port Vila,Vanuatu,"Port Vila, Vanuatu - Oxfam",-17.756593,168.3131,Vanuatu,Paama Island,-16.468264,168.236045,1000000,1000000
Oxfam,Port Vila,Vanuatu,"Port Vila, Vanuatu - Oxfam",-17.756593,168.3131,Vanuatu,Pentecost Island,-15.702834,168.182135,1000000,1000000
Oxfam,Port Vila,Vanuatu,"Port Vila, Vanuatu - Oxfam",-17.756593,168.3131,Vanuatu,Santo Island,-15.263325,166.913032,1000000,1000000
