depotGglCountryAscii,depotGglAddressAscii,depotGglLat,depotGglLong,disasterCity,disasterCountry,disasterGglCountryAscii,disasterGglAddressAscii,disasterGglLat,disasterGglLong,drivingTime_hrs,distance_km
Canada,"Ottawa, ON, Canada",45.4215296,-75.6971931,Bangui,Central African Republic ,Central African Republic,"Bangui, Central African Republic",4.366667,18.583333,1000000,1000000
Canada,"Ottawa, ON, Canada",45.4215296,-75.6971931,Kingstown,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,"Kingstown, Saint Vincent and the Grenadines",13.157778,-61.225,1000000,1000000
