ItemName,Warehouse(Region),gglAddress,gglCountry,Total
BlanketGen,Oceania,"Port Vila, Vanuatu - WORLD VISION",Vanuatu,11006
JerryCanGen,Oceania,"Port Vila, Vanuatu - WORLD VISION",Vanuatu,788
KitchenSetGen,Oceania,"Port Vila, Vanuatu - WORLD VISION",Vanuatu,5722
MosquitoNetGen,Oceania,"Port Vila, Vanuatu - WORLD VISION",Vanuatu,3536
ShelterKit,Oceania,"Port Vila, Vanuatu - WORLD VISION",Vanuatu,3003
SleepingMats,Oceania,"Port Vila, Vanuatu - WORLD VISION",Vanuatu,1234
Tarpaulin4x6,Oceania,"Port Vila, Vanuatu - WORLD VISION",Vanuatu,5116
Tent,Oceania,"Port Vila, Vanuatu - WORLD VISION",Vanuatu,26
