Item,Disaster Type,Month,gglCountry,PersonsPerItem
BlanketGen,DEFAULT,DEFAULT,DEFAULT,1.5
Cots,DEFAULT,DEFAULT,DEFAULT,3
Tarps,DEFAULT,DEFAULT,DEFAULT,6
Water,DEFAULT,DEFAULT,DEFAULT,0.333
Meals,DEFAULT,DEFAULT,DEFAULT,0.5
BlanketGen,DEFAULT,-1,DEFAULT,1.5
Cots,DEFAULT,-1,DEFAULT,3
Tarps,DEFAULT,-1,DEFAULT,6
Water,DEFAULT,-1,DEFAULT,0.333
Meals,DEFAULT,-1,DEFAULT,0.5
