gglAddressAsciiMapFrom,gglAddressAsciiMapTo
"San Francisco, California","San Francisco, California"
"Dallas, Texas","Dallas, Texas"
"Atlanta, Georgia","Atlanta, Georgia"
"Philadelphia, Pennsylvania","Philadelphia, Pennsylvania"
"Washington D.C., Washington D.C.","Washington D.C., Washington D.C."
