Item,Disaster Type,Month,gglCountry,PersonsPerItem
BlanketGen,DEFAULT,DEFAULT,DEFAULT,2.5
Cots,DEFAULT,DEFAULT,DEFAULT,2.5
Tarps,DEFAULT,DEFAULT,DEFAULT,2.5
Water,DEFAULT,DEFAULT,DEFAULT,2.5
Meals,DEFAULT,DEFAULT,DEFAULT,2.5
BlanketGen,DEFAULT,-1,DEFAULT,2.5
Cots,DEFAULT,-1,DEFAULT,2.5
Tarps,DEFAULT,-1,DEFAULT,2.5
Water,DEFAULT,-1,DEFAULT,2.5
Meals,DEFAULT,-1,DEFAULT,2.5
