ItemName,WeightMetricTon,CubicMeters
BlanketGen,0.00123357,0.01045
SoapBarGen,0.000102,0.000092
JerryCanGen,0.0001738,0.0021
KitchenSetGen,0.005,0.01763
LatrinePlateGen,0.0027,0.02808
MosquitoNetGen,0.0004435,0.00135
BucketGen,0.00081,0.005
ShelterKit,0.011,0.02819
SleepingMats,0.00144,0.00745
Tarpaulin4x6,0.0041626,0.00975
Tent,0.058,0.1947
