Agency,NameCity,depotGglCountryAscii,depotGglAddressAscii,depotGglLat,depotGglLong,Order,disasterGglCountryAscii,disasterGglAddressAscii,disasterGglLat,disasterGglLong,drivingTime_hrs,distance_km
WORLD VISION,Port Vila,Vanuatu,"Port Vila, Vanuatu",-17.745611,168.318139,0,Niue,"Alofi, Niue",-19.0553711,-169.9178709,1000000,1000000
WORLD VISION,Port Vila,Vanuatu,"Port Vila, Vanuatu",-17.745611,168.318139,0,Palau,Palau,7.51498,134.58252,1000000,1000000
WORLD VISION,Port Vila,Vanuatu,"Port Vila, Vanuatu",-17.745611,168.318139,0,Papua New Guinea,"Port Moresby, Papua New Guinea",-9.4438004,147.1802671,1000000,1000000
WORLD VISION,Port Vila,Vanuatu,"Port Vila, Vanuatu",-17.745611,168.318139,0,Philippines,"Manila, Philippines",14.5995124,120.9842195,1000000,1000000
WORLD VISION,Port Vila,Vanuatu,"Port Vila, Vanuatu",-17.745611,168.318139,0,Samoa,"Apia, Samoa",-13.833333,-171.75,1000000,1000000
WORLD VISION,Port Vila,Vanuatu,"Port Vila, Vanuatu",-17.745611,168.318139,0,Tonga,"Nuku'alofa, Tonga",-21.133333,-175.2,1000000,1000000
WORLD VISION,Port Vila,Vanuatu,"Port Vila, Vanuatu",-17.745611,168.318139,0,Tuvalu,"Funafuti, Tuvalu",-8.516667,179.216667,1000000,1000000
WORLD VISION,Port Vila,Vanuatu,"Port Vila, Vanuatu",-17.745611,168.318139,0,Vanuatu,"Port Vila, Vanuatu",-17.7332512,168.3273245,0,0
DFAT,Brisbane,Australia,"Brisbane, Australia",-27.383333,153.133333,1,Wallis and Futuna,"Mata'utu, Wallis and Futuna",-13.2825091,-176.1764475,1000000,1000000
DFAT,Brisbane,Australia,"Brisbane, Australia",-27.383333,153.133333,1,Marshall Islands,"Majuro Atoll, RMI",7.1164214,171.1857736,1000000,1000000
DFAT,Brisbane,Australia,"Brisbane, Australia",-27.383333,153.133333,1,Wallis and Futuna,"Mata'utu, Wallis and Futuna",-13.2825091,-176.1764475,1000000,1000000
DFAT,Brisbane,Australia,"Brisbane, Australia",-27.383333,153.133333,1,Timor-Leste,"Dili, Timor-Leste",-8.5568557,125.5603143,1000000,1000000
DFAT,Brisbane,Australia,"Brisbane, Australia",-27.383333,153.133333,1,Cook Islands,"Avarua District, Cook Islands",-21.2129007,-159.7823059,1000000,1000000
DFAT,Brisbane,Australia,"Brisbane, Australia",-27.383333,153.133333,1,Brunei,"Bandar Seri Begawan, Brunei",4.890278,114.942222,1000000,1000000
DFAT,Brisbane,Australia,"Brisbane, Australia",-27.383333,153.133333,1,Northern Mariana Islands,"Saipan, 96950, CNMI",15.177801,145.750967,1000000,1000000
DFAT,Brisbane,Australia,"Brisbane, Australia",-27.383333,153.133333,1,Tokelau,Tokelau,-9.2002,-171.8484,1000000,1000000
DFAT,Brisbane,Australia,"Brisbane, Australia",-27.383333,153.133333,1,Solomon Islands,"Honiara, Solomon Islands",-9.4456381,159.9728999,1000000,1000000
DFAT,Brisbane,Australia,"Brisbane, Australia",-27.383333,153.133333,1,Micronesia,"Palikir, Pohnpei, Micronesia",6.917222,158.158889,1000000,1000000
DFAT,Brisbane,Australia,"Brisbane, Australia",-27.383333,153.133333,1,American Samoa,"Pago Pago, Eastern, American Samoa",-14.279444,-170.700556,1000000,1000000
DFAT,Brisbane,Australia,"Brisbane, Australia",-27.383333,153.133333,1,Australia,"Canberra ACT 2601, Australia",-35.2819998,149.1286843,0,0
DFAT,Brisbane,Australia,"Brisbane, Australia",-27.383333,153.133333,1,Fiji,"Suva, Fiji",-18.1416,178.4419,1000000,1000000
DFAT,Brisbane,Australia,"Brisbane, Australia",-27.383333,153.133333,1,French Polynesia,"Pape'ete, French Polynesia",-17.535,-149.5696,1000000,1000000
